iter	Passed	Remaining
0	64	64600
1	122	60890
2	196	65429
3	257	64165
4	317	63112
5	376	62447
6	429	60912
7	483	60010
8	543	59834
9	599	59385
10	652	58649
11	718	59161
12	782	59417
13	839	59119
14	898	58999
15	950	58426
16	1007	58278
17	1077	58767
18	1157	59780
19	1237	60655
20	1293	60299
21	1355	60238
22	1414	60092
23	1488	60517
24	1560	60852
25	1633	61204
26	1704	61411
27	1772	61522
28	1834	61408
29	1909	61750
30	1987	62137
31	2051	62071
32	2105	61695
33	2173	61764
34	2247	61961
35	2315	62008
36	2382	62004
37	2438	61721
38	2504	61712
39	2566	61585
40	2626	61433
41	2687	61308
42	2746	61129
43	2797	60791
44	2854	60580
45	2926	60695
46	2985	60545
47	3048	60466
48	3109	60354
49	3174	60314
50	3240	60291
51	3314	60421
52	3387	60528
53	3457	60573
54	3518	60455
55	3583	60406
56	3649	60372
57	3709	60248
58	3787	60411
59	3846	60263
60	3908	60169
61	3962	59949
62	4019	59778
63	4091	59838
64	4171	60005
65	4248	60129
66	4311	60040
67	4372	59925
68	4441	59929
69	4504	59844
70	4570	59807
71	4630	59683
72	4693	59602
73	4752	59469
74	4816	59407
75	4875	59278
76	4941	59238
77	5013	59257
78	5075	59165
79	5132	59024
80	5202	59026
81	5260	58896
82	5328	58867
83	5392	58807
84	5458	58757
85	5527	58750
86	5590	58663
87	5662	58679
88	5725	58605
89	5774	58385
90	5826	58202
91	5880	58041
92	5937	57906
93	5999	57825
94	6057	57708
95	6117	57607
96	6177	57507
97	6237	57413
98	6305	57384
99	6383	57449
100	6456	57468
101	6524	57439
102	6588	57380
103	6654	57332
104	6716	57252
105	6772	57119
106	6832	57020
107	6893	56935
108	6954	56851
109	7009	56711
110	7074	56663
111	7137	56592
112	7202	56537
113	7267	56478
114	7330	56416
115	7389	56311
116	7445	56192
117	7514	56165
118	7575	56084
119	7643	56051
120	7714	56041
121	7781	56001
122	7853	55998
123	7918	55939
124	7977	55840
125	8042	55783
126	8103	55705
127	8167	55642
128	8227	55550
129	8284	55442
130	8342	55343
131	8411	55308
132	8467	55199
133	8539	55185
134	8614	55197
135	8693	55231
136	8752	55136
137	8810	55035
138	8867	54930
139	8926	54833
140	8979	54703
141	9036	54600
142	9093	54497
143	9163	54473
144	9229	54423
145	9294	54368
146	9359	54312
147	9420	54228
148	9479	54140
149	9540	54060
150	9601	53986
151	9667	53934
152	9725	53840
153	9791	53790
154	9852	53710
155	9910	53620
156	9980	53591
157	10050	53561
158	10115	53505
159	10182	53455
160	10238	53354
161	10296	53262
162	10358	53189
163	10416	53100
164	10466	52966
165	10516	52837
166	10577	52760
167	10645	52721
168	10713	52680
169	10782	52646
170	10849	52600
171	10923	52586
172	10995	52562
173	11059	52500
174	11117	52408
175	11185	52367
176	11244	52285
177	11302	52193
178	11363	52119
179	11427	52059
180	11494	52011
181	11554	51933
182	11633	51936
183	11687	51831
184	11752	51774
185	11813	51698
186	11870	51610
187	11930	51528
188	11999	51488
189	12063	51428
190	12128	51372
191	12194	51318
192	12266	51288
193	12333	51241
194	12396	51175
195	12460	51114
196	12520	51033
197	12578	50950
198	12654	50935
199	12719	50876
200	12785	50822
201	12843	50739
202	12903	50661
203	12973	50622
204	13047	50600
205	13118	50563
206	13189	50525
207	13248	50446
208	13312	50384
209	13373	50311
210	13436	50242
211	13504	50194
212	13565	50121
213	13630	50062
214	13693	49996
215	13750	49910
216	13809	49828
217	13867	49744
218	13928	49672
219	13986	49589
220	14049	49523
221	14111	49455
222	14178	49401
